Precinct,Address,Latitude,Longitude
10 JONES COMM_ CTR_,"845 Co Rd 83, Jones, AL 36749",32.5831297,-86.8928617
100 TRINITY METHODIST,"610 Fairview Ave, Prattville, AL 36066",32.47398089931177,-86.44665871469313
110 CENTRAL AL ELECTRIC,"103 Jesse Samuel Hunt Blvd, Prattville, AL 36066",32.5649827,-86.462048
140 AUTAUGAVILLE VFD,"2710 AL-14 W, Autaugaville, AL 36003",32.433659135687684,-87.05688031944003
150 PRATTMONT BAPTIST,"814 Smith Ave, Prattville, AL 36067",32.454938426019424,-86.44855747759206
160 DOSTER COMM_ CTR_,"424 S Northington St, Prattville, AL 36067",32.460198818582626,-86.46725088280888
170 CAMELLIA BAPTIST,"201 Woodvale Rd, Prattville, AL 36067",32.471724405524114,-86.45650689964745
180 OLD KINGSTON VFD,"1048 County Rd 40, Prattville, AL 36067",32.27424623914323,-86.17314856828538
20 HERITAGE BAPTIST,"1357 S Memorial Dr, Prattville, AL 36067",32.43579250392247,-86.42224505953467
220 UPPER KINGSTON,"1309 Upper Kingston Rd, Prattville, AL 36067",32.510477886954384,-86.46621114632339
230 COUNTY LINE BAPTIST,"1524 Co Rd 39, Deatsville, AL 36022",32.5332912,-86.4217408
240 GLYNWOOD BAPTIST,"376 McQueen Smith Rd N, Prattville, AL 36066",32.47476534530516,-86.42018087912616
30 BILLINGSLEY COMM_ CTR_,"1956 Church St, Billingsley, AL 36006",32.659521045121245,-86.71941753413054
40 CENTRAL AL COMM_ COLLEGE,"1320 Old Ridge Rd, Prattville, AL 36066",32.505293,-86.43224068128465
50 WHITE CITY VFD,"1151 Co Rd 49, Marbury, AL 36051",32.647438,-86.59950189999999
60 MARBURY MIDDLE SCHOOL,"210 County Rd 20, Marbury, AL 36051",31.484514608659907,-87.25523976455946
70 BOONE'S CHAPEL,"2301 Co Rd 66, Prattville, AL 36067",32.5989579,-86.4966859
80 FRIENDSHIP BAPTIST,"1674 County Road 40 W, Prattville, AL 36067",32.5427081892353,-86.63878565893953
90 BOOTH VFD,"1710 Co Rd 10, Prattville, AL 36067",33.07716327872527,-86.96988794050831
